aglomerado,provincia_completa,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
2,buenos_aires,2,25,5,,5,3,1,1,0,6000.0,S,1.479600014796,0
2,buenos_aires,1,24,5,,5,3,1,1,0,7000.0,S,1.7262000172620002,0
2,buenos_aires,1,26,5,,5,3,1,1,0,7000.0,S,1.7262000172620002,0
2,buenos_aires,2,36,5,24.0,6,1,1,1,3,2827.0,S,0.6971382069713821,1
2,buenos_aires,2,17,5,,3,3,3,1,0,2827.0,S,0.6971382069713821,1
2,buenos_aires,1,15,5,,3,3,3,1,0,2827.0,S,0.6971382069713821,1
2,buenos_aires,2,10,5,,1,3,3,1,0,2827.0,S,0.6971382069713821,1
2,buenos_aires,2,6,5,,7,4,3,2,0,2827.0,S,0.6971382069713821,1
2,buenos_aires,1,75,2,,4,3,1,1,0,7500.0,S,1.8495000184950001,0
2,buenos_aires,2,76,2,,4,3,2,1,0,7500.0,S,1.8495000184950001,0
2,buenos_aires,1,36,1,72.0,2,1,1,1,2,5625.0,S,1.38712501387125,0
2,buenos_aires,2,44,1,,4,3,2,1,0,5625.0,S,1.38712501387125,0
2,buenos_aires,1,7,5,,1,4,3,1,0,5625.0,S,1.38712501387125,0
2,buenos_aires,1,46,5,48.0,3,1,9,1,3,5625.0,S,1.38712501387125,0
2,buenos_aires,1,39,2,48.0,4,1,1,1,2,4600.0,S,1.1343600113436,0
2,buenos_aires,2,43,2,,4,3,2,1,0,4600.0,S,1.1343600113436,0
2,buenos_aires,1,24,5,0.0,4,1,3,1,3,4600.0,S,1.1343600113436,0
2,buenos_aires,1,20,5,,3,3,3,1,0,4600.0,S,1.1343600113436,0
2,buenos_aires,1,6,5,,1,4,3,2,0,4600.0,S,1.1343600113436,0
2,buenos_aires,2,42,5,48.0,5,1,1,1,3,8166.67,S,2.0139008421390083,0
2,buenos_aires,2,24,5,,5,3,3,1,0,8166.67,S,2.0139008421390083,0
2,buenos_aires,1,80,4,,1,3,6,1,0,8166.67,S,2.0139008421390083,0
2,buenos_aires,2,63,4,9.0,1,1,1,1,3,8800.0,S,2.1700800217008003,0
2,buenos_aires,1,53,2,48.0,2,1,1,1,3,2750.0,S,0.6781500067815001,1
2,buenos_aires,2,54,2,,1,3,2,1,0,2750.0,S,0.6781500067815001,1
2,buenos_aires,2,83,4,,2,3,1,1,0,6000.0,S,1.479600014796,0
2,buenos_aires,2,10,5,,1,3,5,1,0,6000.0,S,1.479600014796,0
2,buenos_aires,1,39,5,40.0,6,1,3,1,2,6000.0,S,1.479600014796,0
2,buenos_aires,2,49,1,30.0,6,1,1,1,3,8000.0,S,1.9728000197280002,0
2,buenos_aires,1,50,1,30.0,3,1,2,1,2,8000.0,S,1.9728000197280002,0
2,buenos_aires,2,67,4,,3,3,1,1,0,10000.0,S,2.46600002466,0
2,buenos_aires,1,31,1,48.0,6,1,1,1,3,6300.0,S,1.5535800155358002,0
2,buenos_aires,2,32,1,48.0,3,1,2,1,3,6300.0,S,1.5535800155358002,0
2,buenos_aires,2,10,5,,1,3,3,1,0,6300.0,S,1.5535800155358002,0
2,buenos_aires,2,4,5,,7,4,3,2,0,6300.0,S,1.5535800155358002,0
2,buenos_aires,2,2,5,,7,4,3,2,0,6300.0,S,1.5535800155358002,0
2,buenos_aires,2,69,4,20.0,6,1,1,1,3,19500.0,S,4.808700048087,0
2,buenos_aires,2,66,1,,4,3,1,1,0,5500.0,S,1.3563000135630001,0
2,buenos_aires,1,66,1,,4,3,2,1,0,5500.0,S,1.3563000135630001,0
2,buenos_aires,2,64,5,10.0,4,1,1,1,3,8425.0,S,2.0776050207760504,0
2,buenos_aires,1,44,3,72.0,4,1,1,1,3,6666.67,S,1.6440008384400084,0
2,buenos_aires,2,9,5,,1,4,3,1,0,6666.67,S,1.6440008384400084,0
2,buenos_aires,1,15,5,,3,3,3,1,0,6666.67,S,1.6440008384400084,0
2,buenos_aires,2,49,3,,3,3,1,1,0,3500.0,S,0.8631000086310001,1
2,buenos_aires,2,20,1,,3,3,1,1,0,4733.33,S,1.167239189672392,0
2,buenos_aires,1,23,1,48.0,3,1,2,1,3,4733.33,S,1.167239189672392,0
2,buenos_aires,2,3,5,,7,4,3,2,0,4733.33,S,1.167239189672392,0
2,buenos_aires,1,64,3,63.0,3,1,1,1,3,2800.0,S,0.6904800069048,1
2,buenos_aires,1,56,1,36.0,4,1,1,1,1,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,48,1,,2,3,2,1,0,1244.44,S,0.30687890706878906,1
2,buenos_aires,1,13,5,,3,3,3,1,0,1244.44,S,0.30687890706878906,1
