ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7,intercepto
26.0,5.0,24.0,1.0,3,1.0,2.0,True,False,False,False,False,True,False,0
68.0,4.0,36.0,3.0,1,1.0,2.0,True,False,True,False,False,False,False,0
40.0,5.0,84.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
60.0,1.0,48.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
59.0,1.0,12.0,1.0,2,1.0,2.0,True,False,False,True,False,False,False,0
21.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,True,False,False,0
36.0,2.0,40.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
43.0,2.0,45.0,1.0,2,1.0,2.0,False,False,False,True,False,False,False,0
58.0,5.0,36.0,3.0,1,1.0,2.0,False,False,False,True,False,False,False,0
60.0,5.0,36.0,3.0,8,1.0,2.0,True,False,False,True,False,False,False,0
37.0,5.0,72.0,1.0,9,1.0,2.0,False,True,False,False,False,False,False,0
65.0,3.0,36.0,3.0,1,1.0,2.0,True,False,True,False,False,False,False,0
21.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,True,False,False,0
26.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,True,False,False,0
35.0,5.0,48.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
33.0,5.0,30.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
26.0,5.0,48.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
33.0,5.0,14.0,1.0,3,1.0,2.0,True,False,False,True,False,False,False,0
11.0,5.0,36.0,3.0,5,1.0,1.0,True,False,False,False,False,False,False,0
8.0,5.0,36.0,4.0,5,1.0,1.0,True,False,False,False,False,False,False,0
39.0,5.0,36.0,3.0,1,1.0,2.0,True,False,False,True,False,False,False,0
15.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
60.0,2.0,36.0,3.0,1,1.0,2.0,True,False,False,True,False,False,False,0
59.0,2.0,48.0,1.0,2,1.0,2.0,False,True,False,False,False,False,False,0
30.0,1.0,18.0,1.0,3,1.0,2.0,True,True,False,False,False,False,False,0
30.0,1.0,43.0,1.0,4,1.0,2.0,False,True,False,False,False,False,False,0
8.0,5.0,36.0,4.0,5,1.0,1.0,True,False,False,False,False,False,False,0
66.0,4.0,36.0,3.0,1,1.0,2.0,True,False,False,True,False,False,False,0
33.0,3.0,48.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
26.0,5.0,50.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
67.0,4.0,36.0,3.0,1,1.0,2.0,True,False,False,True,False,False,False,0
