ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
53.0,3.0,40.0,1.0,1,1.0,2.0,0,False,False,True,False,False,False,False
85.0,4.0,36.0,3.0,6,1.0,2.0,0,True,True,False,False,False,False,False
45.0,3.0,52.0,1.0,8,1.0,2.0,0,False,False,True,False,False,False,False
53.0,2.0,50.0,1.0,1,1.0,2.0,1,True,False,False,True,False,False,False
45.0,2.0,42.0,1.0,2,1.0,2.0,1,False,False,True,False,False,False,False
24.0,5.0,30.0,1.0,3,1.0,2.0,1,False,False,False,True,False,False,False
21.0,5.0,36.0,3.0,3,1.0,2.0,1,True,False,True,False,False,False,False
21.0,1.0,36.0,3.0,3,1.0,2.0,1,True,False,True,False,False,False,False
34.0,5.0,36.0,4.0,5,3.0,2.0,1,True,False,False,False,False,False,True
34.0,5.0,36.0,4.0,5,3.0,2.0,1,False,False,False,False,False,False,True
24.0,1.0,40.0,1.0,4,1.0,2.0,1,False,True,False,False,False,False,False
47.0,5.0,48.0,1.0,1,1.0,2.0,0,False,False,False,False,True,False,False
18.0,1.0,36.0,3.0,3,1.0,1.0,0,True,False,True,False,False,False,False
18.0,1.0,36.0,3.0,4,1.0,1.0,0,False,False,True,False,False,False,False
46.0,3.0,36.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
17.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,False,False,True,False,False
38.0,1.0,30.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
51.0,1.0,0.0,1.0,2,1.0,2.0,0,True,False,False,False,True,False,False
69.0,2.0,30.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
62.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,True,False,False,False
29.0,5.0,36.0,2.0,3,1.0,2.0,0,False,False,False,True,False,False,False
58.0,3.0,36.0,3.0,1,1.0,2.0,0,True,True,False,False,False,False,False
37.0,1.0,21.0,1.0,1,1.0,2.0,1,False,False,False,True,False,False,False
35.0,1.0,35.0,1.0,2,1.0,2.0,1,True,False,False,True,False,False,False
12.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,False,False,False,False,False
11.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,False,False,False,False,False
10.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,False,False,False,False,False
7.0,5.0,36.0,4.0,3,1.0,1.0,1,True,False,False,False,False,False,False
49.0,2.0,30.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
53.0,2.0,45.0,1.0,2,1.0,2.0,0,False,False,False,True,False,False,False
13.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,True,False,False,False,False
16.0,5.0,36.0,3.0,3,1.0,1.0,0,True,False,True,False,False,False,False
39.0,3.0,30.0,1.0,1,1.0,2.0,1,True,True,False,False,False,False,False
19.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,False,False,True,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
30.0,5.0,45.0,1.0,3,1.0,2.0,0,False,False,True,False,False,False,False
82.0,4.0,36.0,3.0,1,1.0,2.0,1,False,False,False,False,False,False,False
34.0,1.0,50.0,1.0,3,1.0,2.0,1,False,False,False,True,False,False,False
32.0,1.0,36.0,3.0,4,1.0,2.0,1,True,False,False,True,False,False,False
10.0,5.0,36.0,3.0,5,1.0,1.0,1,False,False,False,False,False,False,False
34.0,5.0,36.0,4.0,5,3.0,2.0,1,True,False,False,False,False,False,True
62.0,2.0,45.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
63.0,2.0,40.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
7.0,5.0,36.0,4.0,3,1.0,1.0,1,True,False,False,False,False,False,False
3.0,5.0,36.0,4.0,3,2.0,3.0,1,False,False,False,False,False,False,True
31.0,1.0,30.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
31.0,1.0,40.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
51.0,5.0,70.0,1.0,1,1.0,2.0,1,True,False,False,False,False,True,False
17.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
85.0,5.0,36.0,3.0,7,1.0,2.0,0,True,False,False,False,False,True,False
54.0,2.0,70.0,1.0,1,1.0,2.0,0,False,False,False,False,True,False,False
47.0,2.0,70.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
21.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,True,False,False,False,False
27.0,1.0,36.0,2.0,1,1.0,2.0,0,True,False,True,False,False,False,False
26.0,1.0,54.0,1.0,2,1.0,2.0,0,False,False,False,True,False,False,False
