Variable,Coef_sin_penalidad,Coef_L1,Coef_L2
ch06,-0.022718991052428927,-0.022178665680346654,-0.022538504673491964
ch07,-0.06503125655157575,-0.0671721424285484,-0.06516549729319668
pp3e_tot_clean,-0.007267614907677821,-0.007482674546255875,-0.007188077084725246
estado,0.22424414677824578,0.21603589317381316,0.22730619871866528
ch03,0.05518139113520214,0.05289586809392811,0.05560391785070237
ch09,0.030303025116258868,0.0,-0.014909964877026958
ch10,0.47183727560688676,0.4117433015204989,0.4472209430188854
ch04_2,0.20870372111801563,0.19580744894026364,0.20335868207019925
nivel_ed_2,0.33313947004820343,0.3435440040215586,0.37061847841190476
nivel_ed_3,0.2032659820287989,0.21188516273918287,0.23741500640288157
nivel_ed_4,-0.32198359580257085,-0.2808669777162275,-0.2722070704824447
nivel_ed_5,-0.5547477640106602,-0.5322483549634442,-0.513476618010387
nivel_ed_6,-1.6688708747191434,-1.615881331707325,-1.5814508049044285
nivel_ed_7,-0.7738430610925805,-0.6460088433927033,-0.6609120413148786
intercepto,-0.06718854564590208,0.0,-0.04479786802023378
