provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada
buenos_aires,2861.9506315911462,30038.444987356586,6.350851392019366,1
catamarca,487.16790648246547,21514.547931278783,4.959205608493921,1
chaco,817.6821619217081,20737.776779359432,5.312201712154761,0
chubut,1670.5535775419378,37134.262555871275,5.599661775693897,1
ciudad_autonoma_de_buenos_aires,16933.667041873032,35591.82491375507,8.001135217767754,0
cordoba,3937.912455843956,26813.948746383045,6.640556167611162,1
corrientes,738.153921955065,20439.606802877413,5.2989562919469115,1
entre_rios,1519.7314606741572,26242.981858157305,6.284443439331117,1
formosa,814.8639262934089,21234.841448759747,5.394019799276909,0
jujuy,1087.28359375,21883.37365425781,5.522488811527657,1
la_pampa,388.32955334413333,27198.320666026382,4.969401231943834,0
la_rioja,674.1149745016227,19937.47809582754,4.727936170130133,1
mendoza,2496.1190574617613,27851.051724741632,6.745962085102692,1
misiones,1289.5347871235722,19640.258843535827,6.228728300914566,0
neuquen,1613.8786597267404,35654.69690006506,5.309256208111414,1
rio_negro,1992.6145374449338,28535.696511930986,5.638505241102948,1
salta,1378.4501584206678,23429.664136290517,5.685888701362053,1
san_juan,969.5002517623363,23016.457638016112,5.563204281414345,1
san_luis,1343.9065155807366,24885.783087913125,5.474738256341645,1
santa_cruz,1324.4012208657048,44327.80051881243,6.067205346193093,1
santa_fe,5199.917640186916,28237.3244198014,7.042416968586739,0
santiago_del_estero,557.3091898681181,19365.154470755704,4.758127159688249,1
tierra_del_fuego,3092.767195767196,54656.61146737213,7.35924184890514,0
tucuman,2250.2749410840534,20971.482633935586,6.205098417705419,1
